location_name,QAQC,event_year,event_name_calc,Transect,Diameter,Decay_Class
GUCO008,-1,2011,GUCO008Q,X,20,4
GUCO008,-1,2011,GUCO008Q,X,20,3
GUCO008,-1,2011,GUCO008Q,Y,12,4
GUCO008,-1,2011,GUCO008Q,Y,10,3
GUCO008,-1,2011,GUCO008Q,X,13,3
GUCO008,-1,2011,GUCO008Q,Y,12,4
GUCO008,-1,2011,GUCO008Q,Y,11,2
GUCO008,-1,2011,GUCO008Q,X,12,4
GUCO008,-1,2011,GUCO008Q,X,17,3
GUCO008,-1,2011,GUCO008Q,X,28,4
GUCO008,-1,2011,GUCO008Q,X,17,3
GUCO008,-1,2011,GUCO008Q,Y,15,2
GUCO008,-1,2011,GUCO008Q,X,16,4
GUCO008,-1,2011,GUCO008Q,X,10,4
MACA023,0,2013,MACA023,Y,13,3
MACA023,0,2013,MACA023,Y,9,1
MACA023,0,2013,MACA023,Y,14,2
MACA023,0,2013,MACA023,Y,11,2
MACA023,0,2013,MACA023,Y,16,3
MACA023,0,2013,MACA023,X,11,2
MACA023,0,2013,MACA023,Y,15,2
MACA023,0,2013,MACA023,Y,8,1
MACA023,0,2013,MACA023,Y,17,1
MACA023,-1,2013,MACA023Q,Y,15,2
MACA023,-1,2013,MACA023Q,Y,8,1
MACA023,-1,2013,MACA023Q,X,12,3
MACA023,-1,2013,MACA023Q,Y,18,5
MACA023,-1,2013,MACA023Q,Y,15,5
MACA023,-1,2013,MACA023Q,Y,9,3
MACA023,-1,2013,MACA023Q,Y,14,3
MACA023,-1,2013,MACA023Q,X,14,5
MACA023,-1,2013,MACA023Q,X,9,2
MACA023,-1,2013,MACA023Q,Y,8,1
MACA023,-1,2013,MACA023Q,Y,11,3
MACA023,-1,2013,MACA023Q,Y,18,1
MACA023,-1,2013,MACA023Q,Y,10,2
LOOK017,-1,2014,LOOK017Q,Y,10,4
LOOK017,-1,2014,LOOK017Q,X,34,3
LOOK017,-1,2014,LOOK017Q,Y,8,3
LOOK017,-1,2014,LOOK017Q,X,19,4
LOOK017,-1,2014,LOOK017Q,Y,17,5
LOOK017,-1,2014,LOOK017Q,X,16,2
LOOK017,-1,2014,LOOK017Q,Y,29,5
LOOK017,0,2014,LOOK017,Y,7.5,2
LOOK017,0,2014,LOOK017,X,34,2
LOOK017,0,2014,LOOK017,Y,25,4
LOOK017,0,2014,LOOK017,Y,17,4
LOOK017,0,2014,LOOK017,X,16,1
LOOK017,0,2014,LOOK017,X,18,2
LOOK017,0,2014,LOOK017,Y,10,3
CHIC014,0,2013,CHIC014,Y,24,2
CHIC014,0,2013,CHIC014,X,18,2
CHIC014,0,2013,CHIC014,Y,21,4
CHIC014,0,2013,CHIC014,Y,8,2
CHIC014,0,2013,CHIC014,Y,17,3
CHIC014,0,2013,CHIC014,X,30,4
CHIC014,0,2013,CHIC014,X,11,1
CHIC014,0,2013,CHIC014,X,12,4
CHIC014,-1,2013,CHIC014Q,X,9,4
CHIC014,-1,2013,CHIC014Q,Y,12,4
CHIC014,-1,2013,CHIC014Q,X,20,5
CHIC014,-1,2013,CHIC014Q,Y,17,3
CHIC014,-1,2013,CHIC014Q,X,20,4
CHIC014,-1,2013,CHIC014Q,Y,23,2
CHIC014,-1,2013,CHIC014Q,X,11,2
CHIC014,-1,2013,CHIC014Q,Y,10,4
CHIC017,0,2014,CHIC017,Y,21,4
CHIC017,0,2014,CHIC017,Y,17,3
CHIC017,0,2014,CHIC017,X,10,3
CHIC017,0,2014,CHIC017,X,9,3
CHIC017,0,2014,CHIC017,X,12,3
CHIC017,0,2014,CHIC017,X,24,3
CHIC017,0,2014,CHIC017,X,10,3
CHIC017,0,2014,CHIC017,X,26,2
CHIC017,0,2014,CHIC017,X,16,2
CHIC017,0,2014,CHIC017,X,23,2
CHIC017,-1,2014,CHIC017Q,X,8,4
CHIC017,-1,2014,CHIC017Q,X,26,3
CHIC017,-1,2014,CHIC017Q,X,32,3
CHIC017,-1,2014,CHIC017Q,Y,12,4
CHIC017,-1,2014,CHIC017Q,Y,17,4
CHIC017,-1,2014,CHIC017Q,Y,19,4
CHIC017,-1,2014,CHIC017Q,X,14,3
CHIC017,-1,2014,CHIC017Q,X,10,4
CHIC017,-1,2014,CHIC017Q,X,9,4
CHIC017,-1,2014,CHIC017Q,X,9,4
CHIC017,-1,2014,CHIC017Q,X,9,4
CHIC017,-1,2014,CHIC017Q,X,33,5
CHIC017,-1,2014,CHIC017Q,X,12,3
CHIC017,-1,2014,CHIC017Q,X,10,4
CHIC017,-1,2014,CHIC017Q,X,17,3
