location_name,QAQC,event_year,event_name_calc,Module,Direction,Spherical_Densiometer_Tally
MACA001,0,2016,MACA001,1,N,82
MACA001,0,2016,MACA001,4,W,89
MACA001,0,2016,MACA001,3,S,82
MACA001,0,2016,MACA001,4,S,91
MACA001,0,2016,MACA001,2,S,86
MACA001,0,2016,MACA001,2,E,91
MACA001,0,2016,MACA001,2,N,84
MACA001,0,2016,MACA001,3,W,84
MACA001,0,2016,MACA001,3,E,90
MACA001,0,2016,MACA001,1,E,88
MACA001,0,2016,MACA001,2,W,85
MACA001,0,2016,MACA001,4,E,90
MACA001,0,2016,MACA001,3,N,80
MACA001,0,2016,MACA001,4,N,87
MACA001,0,2016,MACA001,1,W,82
MACA007,0,2016,MACA007,4,S,84
MACA007,0,2016,MACA007,1,N,85
MACA007,0,2016,MACA007,4,N,88
MACA007,0,2016,MACA007,1,S,87
MACA007,0,2016,MACA007,4,W,92
MACA007,0,2016,MACA007,1,E,85
MACA007,0,2016,MACA007,2,E,88
MACA007,0,2016,MACA007,3,N,90
MACA007,0,2016,MACA007,2,N,90
MACA007,0,2016,MACA007,1,W,85
MACA007,0,2016,MACA007,3,S,91
MACA007,0,2016,MACA007,3,E,92
MACA007,0,2016,MACA007,3,W,83
MACA007,0,2016,MACA007,4,E,92
MACA007,0,2016,MACA007,2,S,89
MACA007,0,2016,MACA007,2,W,86
MACA007,-1,2016,MACA007Q,1,S,76
MACA007,-1,2016,MACA007Q,4,W,86
MACA007,-1,2016,MACA007Q,2,E,79
MACA007,-1,2016,MACA007Q,4,E,88
MACA007,-1,2016,MACA007Q,4,N,87
MACA007,-1,2016,MACA007Q,3,W,82
MACA007,-1,2016,MACA007Q,2,S,85
MACA007,-1,2016,MACA007Q,1,E,80
MACA007,-1,2016,MACA007Q,2,N,89
MACA007,-1,2016,MACA007Q,3,N,83
MACA007,-1,2016,MACA007Q,1,N,78
MACA007,-1,2016,MACA007Q,3,S,92
MACA007,-1,2016,MACA007Q,4,S,84
MACA007,-1,2016,MACA007Q,3,E,85
MACA007,-1,2016,MACA007Q,2,W,81
MACA007,-1,2016,MACA007Q,1,W,73
CHIC005,-1,2011,CHIC005Q,4,N,78
CHIC005,-1,2011,CHIC005Q,4,W,80
CHIC005,-1,2011,CHIC005Q,3,E,83
CHIC005,-1,2011,CHIC005Q,1,E,73
CHIC005,-1,2011,CHIC005Q,4,E,84
CHIC005,-1,2011,CHIC005Q,2,W,72
CHIC005,-1,2011,CHIC005Q,1,W,77
CHIC005,-1,2011,CHIC005Q,3,S,83
CHIC005,-1,2011,CHIC005Q,2,N,73
CHIC005,-1,2011,CHIC005Q,2,E,77
CHIC005,-1,2011,CHIC005Q,2,S,79
CHIC005,-1,2011,CHIC005Q,1,S,72
CHIC005,-1,2011,CHIC005Q,4,S,79
CHIC005,-1,2011,CHIC005Q,3,N,87
CHIC005,-1,2011,CHIC005Q,3,W,74
CHIC005,-1,2011,CHIC005Q,1,N,72
CHIC005,0,2011,CHIC005,2,E,68
CHIC005,0,2011,CHIC005,1,W,74
CHIC005,0,2011,CHIC005,1,N,74
CHIC005,0,2011,CHIC005,1,S,80
CHIC005,0,2011,CHIC005,4,N,76
CHIC005,0,2011,CHIC005,4,W,78
CHIC005,0,2011,CHIC005,3,S,79
CHIC005,0,2011,CHIC005,3,E,80
CHIC005,0,2011,CHIC005,2,N,65
CHIC005,0,2011,CHIC005,4,E,81
CHIC005,0,2011,CHIC005,1,E,81
CHIC005,0,2011,CHIC005,3,W,71
CHIC005,0,2011,CHIC005,2,W,61
CHIC005,0,2011,CHIC005,4,S,84
CHIC005,0,2011,CHIC005,2,S,74
CHIC005,0,2011,CHIC005,3,N,89
MACA037,-1,2014,MACA037Q,1,S,92
MACA037,-1,2014,MACA037Q,4,W,87
MACA037,-1,2014,MACA037Q,4,E,91
MACA037,-1,2014,MACA037Q,1,N,86
MACA037,-1,2014,MACA037Q,2,N,90
MACA037,-1,2014,MACA037Q,1,E,91
MACA037,-1,2014,MACA037Q,4,S,85
MACA037,-1,2014,MACA037Q,4,N,88
MACA037,-1,2014,MACA037Q,1,W,91
MACA037,-1,2014,MACA037Q,3,N,89
MACA037,-1,2014,MACA037Q,3,W,87
MACA037,-1,2014,MACA037Q,2,W,91
MACA037,-1,2014,MACA037Q,2,E,92
MACA037,-1,2014,MACA037Q,3,E,90
MACA037,-1,2014,MACA037Q,3,S,84
MACA037,-1,2014,MACA037Q,2,S,90
MACA037,0,2014,MACA037,1,E,88
MACA037,0,2014,MACA037,1,S,86
MACA037,0,2014,MACA037,1,W,89
MACA037,0,2014,MACA037,3,W,91
MACA037,0,2014,MACA037,3,E,78
MACA037,0,2014,MACA037,4,W,89
MACA037,0,2014,MACA037,1,N,84
MACA037,0,2014,MACA037,2,W,91
MACA037,0,2014,MACA037,3,N,82
MACA037,0,2014,MACA037,2,N,84
MACA037,0,2014,MACA037,4,E,90
MACA037,0,2014,MACA037,2,E,84
MACA037,0,2014,MACA037,2,S,87
MACA037,0,2014,MACA037,3,S,82
MACA037,0,2014,MACA037,4,N,88
MACA037,0,2014,MACA037,4,S,82
KIMO011,0,2012,KIMO011,3,W,81
KIMO011,0,2012,KIMO011,3,S,67
KIMO011,0,2012,KIMO011,2,S,62
KIMO011,0,2012,KIMO011,4,S,69
KIMO011,0,2012,KIMO011,1,E,85
KIMO011,0,2012,KIMO011,2,N,75
KIMO011,0,2012,KIMO011,3,E,67
KIMO011,0,2012,KIMO011,2,E,67
KIMO011,0,2012,KIMO011,1,N,79
KIMO011,0,2012,KIMO011,4,W,83
KIMO011,0,2012,KIMO011,4,E,73
KIMO011,0,2012,KIMO011,4,N,73
KIMO011,0,2012,KIMO011,2,W,72
KIMO011,0,2012,KIMO011,1,S,69
KIMO011,0,2012,KIMO011,1,W,88
KIMO011,0,2012,KIMO011,3,N,72
KIMO011,-1,2012,KIMO011Q,1,S,58
KIMO011,-1,2012,KIMO011Q,3,S,77
KIMO011,-1,2012,KIMO011Q,1,W,71
KIMO011,-1,2012,KIMO011Q,1,N,80
KIMO011,-1,2012,KIMO011Q,4,E,88
KIMO011,-1,2012,KIMO011Q,3,W,84
KIMO011,-1,2012,KIMO011Q,3,N,78
KIMO011,-1,2012,KIMO011Q,2,W,70
KIMO011,-1,2012,KIMO011Q,2,S,60
KIMO011,-1,2012,KIMO011Q,2,N,65
KIMO011,-1,2012,KIMO011Q,3,E,75
KIMO011,-1,2012,KIMO011Q,2,E,70
KIMO011,-1,2012,KIMO011Q,4,N,93
KIMO011,-1,2012,KIMO011Q,4,W,86
KIMO011,-1,2012,KIMO011Q,4,S,94
KIMO011,-1,2012,KIMO011Q,1,E,72
CHIC002,0,2016,CHIC002,1,W,83
CHIC002,0,2016,CHIC002,2,W,91
CHIC002,0,2016,CHIC002,2,E,90
CHIC002,0,2016,CHIC002,2,N,91
CHIC002,0,2016,CHIC002,2,S,92
CHIC002,0,2016,CHIC002,3,S,85
CHIC002,0,2016,CHIC002,3,W,85
CHIC002,0,2016,CHIC002,1,S,82
CHIC002,0,2016,CHIC002,3,N,91
CHIC002,0,2016,CHIC002,4,E,90
CHIC002,0,2016,CHIC002,4,N,90
CHIC002,0,2016,CHIC002,4,W,92
CHIC002,0,2016,CHIC002,1,E,84
CHIC002,0,2016,CHIC002,4,S,94
CHIC002,0,2016,CHIC002,1,N,80
CHIC002,0,2016,CHIC002,3,E,90
CHIC002,-1,2016,CHIC002Q,3,N,92
CHIC002,-1,2016,CHIC002Q,1,S,81
CHIC002,-1,2016,CHIC002Q,4,S,95
CHIC002,-1,2016,CHIC002Q,2,W,91
CHIC002,-1,2016,CHIC002Q,2,E,92
CHIC002,-1,2016,CHIC002Q,4,N,92
CHIC002,-1,2016,CHIC002Q,4,E,87
CHIC002,-1,2016,CHIC002Q,3,W,83
