Park,SubPark,CEGL,community name,CommunityAlliance,CommunityGroup,CommunityMacroGroup,"Count of plots in subpark, this cegl",gp1,gp2,MP comment
STRI,STRI,CEGL004697,"Celtis (laevigata, occidentalis) - Ulmus spp. - (Aesculus glabra) Ruderal Forest",A3228 Tuliptree - Black Walnut - Black Locust Ruderal Forest Alliance AKA Liriodendron tulipifera - Juglans nigra - Robinia pseudoacacia Ruderal Forest Alliance,G030 Eastern North American Native Ruderal Forest Group,M013 Eastern North American Ruderal Forest Macrogroup,5,Ruderal Forest,Ruderal Forest,
ABLI,BIRT,CEGL007220,Liriodendron tulipifera / (Cercis canadensis) / (Lindera benzoin) Ruderal Forest,A3228 Tuliptree - Black Walnut - Black Locust Ruderal Forest Alliance AKA Liriodendron tulipifera - Juglans nigra - Robinia pseudoacacia Ruderal Forest Alliance,G030 Eastern North American Native Ruderal Forest Group,M013 Eastern North American Ruderal Forest Macrogroup,7,Ruderal Forest,Ruderal Forest,
ABLI,KNOB,CEGL007220,Liriodendron tulipifera / (Cercis canadensis) / (Lindera benzoin) Ruderal Forest,A3228 Tuliptree - Black Walnut - Black Locust Ruderal Forest Alliance AKA Liriodendron tulipifera - Juglans nigra - Robinia pseudoacacia Ruderal Forest Alliance,G030 Eastern North American Native Ruderal Forest Group,M013 Eastern North American Ruderal Forest Macrogroup,2,Ruderal Forest,Ruderal Forest,
FODO,DONE,CEGL007220,Liriodendron tulipifera / (Cercis canadensis) / (Lindera benzoin) Ruderal Forest,A3228 Tuliptree - Black Walnut - Black Locust Ruderal Forest Alliance AKA Liriodendron tulipifera - Juglans nigra - Robinia pseudoacacia Ruderal Forest Alliance,G030 Eastern North American Native Ruderal Forest Group,M013 Eastern North American Ruderal Forest Macrogroup,1,Ruderal Forest,Ruderal Forest,
MACA,MACA,CEGL007220,Liriodendron tulipifera / (Cercis canadensis) / (Lindera benzoin) Ruderal Forest,A3228 Tuliptree - Black Walnut - Black Locust Ruderal Forest Alliance AKA Liriodendron tulipifera - Juglans nigra - Robinia pseudoacacia Ruderal Forest Alliance,G030 Eastern North American Native Ruderal Forest Group,M013 Eastern North American Ruderal Forest Macrogroup,2,Ruderal Forest,Ruderal Forest,
COWP,COWP,CEGL007221,Liriodendron tulipifera - Quercus spp. Ruderal Forest,A3228 Tuliptree - Black Walnut - Black Locust Ruderal Forest Alliance AKA Liriodendron tulipifera - Juglans nigra - Robinia pseudoacacia Ruderal Forest Alliance,G030 Eastern North American Native Ruderal Forest Group,M013 Eastern North American Ruderal Forest Macrogroup,5,Ruderal Forest,Ruderal Forest,
GUCO,GUCO,CEGL007221,Liriodendron tulipifera - Quercus spp. Ruderal Forest,A3228 Tuliptree - Black Walnut - Black Locust Ruderal Forest Alliance AKA Liriodendron tulipifera - Juglans nigra - Robinia pseudoacacia Ruderal Forest Alliance,G030 Eastern North American Native Ruderal Forest Group,M013 Eastern North American Ruderal Forest Macrogroup,7,Ruderal Forest,Ruderal Forest,
KIMO,KIMO,CEGL007221,Liriodendron tulipifera - Quercus spp. Ruderal Forest,A3228 Tuliptree - Black Walnut - Black Locust Ruderal Forest Alliance AKA Liriodendron tulipifera - Juglans nigra - Robinia pseudoacacia Ruderal Forest Alliance,G030 Eastern North American Native Ruderal Forest Group,M013 Eastern North American Ruderal Forest Macrogroup,2,Ruderal Forest,Ruderal Forest,
MACA,MACA,CEGL007221,Liriodendron tulipifera - Quercus spp. Ruderal Forest,A3228 Tuliptree - Black Walnut - Black Locust Ruderal Forest Alliance AKA Liriodendron tulipifera - Juglans nigra - Robinia pseudoacacia Ruderal Forest Alliance,G030 Eastern North American Native Ruderal Forest Group,M013 Eastern North American Ruderal Forest Macrogroup,1,Ruderal Forest,Ruderal Forest,
NISI,NISI,CEGL007221,Liriodendron tulipifera - Quercus spp. Ruderal Forest,A3228 Tuliptree - Black Walnut - Black Locust Ruderal Forest Alliance AKA Liriodendron tulipifera - Juglans nigra - Robinia pseudoacacia Ruderal Forest Alliance,G030 Eastern North American Native Ruderal Forest Group,M013 Eastern North American Ruderal Forest Macrogroup,1,Ruderal Forest,Ruderal Forest,
