location_name,QAQC,event_year,event_name_calc,Module,Corner,Species_Original,Plant_Concept_Current_IDF,Seedling_Ht_5_50,Seedling_Ht_50_137,Sapling_DBH_0_1,Sapling_DBH_1_2half,Sapling_DBH_2half_5,Sapling_DBH_5_10,Seedling_Ht_5_15,Seedling_Ht_15_30,Seedling_Ht_30_50
KIMO011,0,2012,KIMO011,4,2,QUERVEL,{98FEDA8E-4F45-425F-A9B2-C2762A2E775F},,1,,,,,,,
KIMO011,0,2012,KIMO011,3,4,CARYGLA,{56A01BE8-41DF-42BD-96BB-77B0BCA2FEDD},1,,,,,,,,
KIMO011,0,2012,KIMO011,3,2,ILEXOPA,{AF5BD4B0-E570-45EC-8A5C-0AE95C8D7315},1,,,,,,,,
KIMO011,0,2012,KIMO011,4,3,ACERRUB,{F005F3BB-6045-4A0B-A022-F6AB3D4D4043},1,,,,,1,,,
KIMO011,0,2012,KIMO011,2,2,ACERRUB,{F005F3BB-6045-4A0B-A022-F6AB3D4D4043},2,,,,,,,,
KIMO011,-1,2012,KIMO011Q,4,2,QUERVEL,{98FEDA8E-4F45-425F-A9B2-C2762A2E775F},3,,,,,,,,
KIMO011,-1,2012,KIMO011Q,1,2,QUERCOC,{2BCB9243-7E5B-468B-9A34-E46B26139580},,,2,,,,,,
KIMO011,-1,2012,KIMO011Q,1,2,QUERVEL,{98FEDA8E-4F45-425F-A9B2-C2762A2E775F},2,,,,,1,,,
KIMO011,-1,2012,KIMO011Q,4,3,PINUECH,{4283D5F5-B46B-4C38-8B84-460DC5A88269},,,,1,,,,,
KIMO011,-1,2012,KIMO011Q,4,2,PINUECH,{4283D5F5-B46B-4C38-8B84-460DC5A88269},,,,,1,,,,
KIMO011,-1,2012,KIMO011Q,3,4,OXYDARB,{618394AC-EC81-4F3E-9466-9C6CE04786C7},,,,,,1,,,
KIMO011,-1,2012,KIMO011Q,4,3,ACERRUB,{F005F3BB-6045-4A0B-A022-F6AB3D4D4043},,,,,,1,,,
KIMO011,-1,2012,KIMO011Q,2,2,PINUVIR,{BA0454FB-F97D-4A47-AC52-F010C6191AFD},,,,,,1,,,
KIMO011,-1,2012,KIMO011Q,4,3,LIQUSTY,{A0A66D11-EA4A-496D-8AD8-794EE9D3C1CA},1,,,,,,,,
KIMO011,-1,2012,KIMO011Q,2,2,QUERVEL,{98FEDA8E-4F45-425F-A9B2-C2762A2E775F},4,,,,,,,,
KIMO011,-1,2012,KIMO011Q,4,3,Pinus sp.,{53E4FC52-155A-43F5-B9F5-0C491B7A55F5},1,,,,,,,,
KIMO011,-1,2012,KIMO011Q,3,2,ACERRUB,{F005F3BB-6045-4A0B-A022-F6AB3D4D4043},3,,,,,,,,
KIMO011,-1,2012,KIMO011Q,3,4,QUERVEL,{98FEDA8E-4F45-425F-A9B2-C2762A2E775F},4,,,,,1,,,
KIMO011,-1,2012,KIMO011Q,2,3,LIQUSTY,{A0A66D11-EA4A-496D-8AD8-794EE9D3C1CA},1,,1,,,,,,
KIMO011,-1,2012,KIMO011Q,4,2,QUERCOC,{2BCB9243-7E5B-468B-9A34-E46B26139580},2,,,,,,,,
KIMO011,-1,2012,KIMO011Q,3,4,CARYALB,{AA664394-AE43-4AE0-8D54-5E51DE3ABAA4},1,,,,,,,,
